decade,place,tried,executed,lat,lon,mortality,country,event,year,war,battle,size_1,decade_hov
1300,Champagne-Ardenne,1.0,0.0,48.7435,4.5387,0.0,France,trial,,,,0.5641895835477563,1300–1309
1300,Devon,1.0,0.0,50.7449,-3.8006,0.0,United Kingdom,trial,,,,0.5641895835477563,1300–1309
1300,Freiburg,1.0,0.0,48.0237,8.2189,0.0,Germany,trial,,,,0.5641895835477563,1300–1309
1300,Ile-de-France,3.0,2.0,48.7196,2.5234,0.6666666666666666,France,trial,,,,0.9772050238058398,1300–1309
1300,Mittelfranken,1.0,0.0,49.3524,10.7811,0.0,Germany,trial,,,,0.5641895835477563,1300–1309
1300,Nord-Pas de Calais,1.0,0.0,50.4789,2.7098,0.0,France,trial,,,,0.5641895835477563,1300–1309
1300,West Midlands,1.0,0.0,52.4987,-1.9345,0.0,United Kingdom,trial,,,,0.5641895835477563,1300–1309
1310,Champagne-Ardenne,1.0,0.0,48.7435,4.5387,0.0,France,trial,,,,0.5641895835477563,1310–1319
1310,Ile-de-France,6.0,3.0,48.7196,2.5234,0.5,France,trial,,,,1.381976597885342,1310–1319
1310,Languedoc-Roussillon,1.0,0.0,43.6073,3.25,0.0,France,trial,,,,0.5641895835477563,1310–1319
1310,Niederösterreich,1.0,0.0,48.2589,15.7601,0.0,Austria,trial,,,,0.5641895835477563,1310–1319
1310,Provence-Alpes-Côte d’Azur,2.0,1.0,43.9629,6.0641,0.5,France,trial,,,,0.7978845608028654,1310–1319
1320,Aquitaine,6.0,2.0,44.3694,-0.2186,0.3333333333333333,France,trial,,,,1.381976597885342,1320–1329
1320,Ile-de-France,2.0,1.0,48.7196,2.5234,0.5,France,trial,,,,0.7978845608028654,1320–1329
1320,Köln,1.0,0.0,50.8283,6.8087,0.0,Germany,trial,,,,0.5641895835477563,1320–1329
1320,Languedoc-Roussillon,1.0,0.0,43.6073,3.25,0.0,France,trial,,,,0.5641895835477563,1320–1329
1320,Marche,1.0,0.0,43.3477,13.153,0.0,Italy,trial,,,,0.5641895835477563,1320–1329
1320,Midi-Pyrénées,11.0,0.0,43.771,1.4911,0.0,France,trial,,,,1.8712051592547776,1320–1329
1320,Provence-Alpes-Côte d’Azur,2.0,0.0,43.9629,6.0641,0.0,France,trial,,,,0.7978845608028654,1320–1329
1320,Southern,12.0,1.0,52.3625,-8.3667,0.08333333333333333,Ireland,trial,,,,1.9544100476116797,1320–1329
1320,Tübingen,1.0,1.0,48.1316,9.5041,1.0,Germany,trial,,,,0.5641895835477563,1320–1329
1320,Utrecht,1.0,0.0,52.0749,5.2003,0.0,Netherlands,trial,,,,0.5641895835477563,1320–1329
1320,West Midlands,28.0,0.0,52.4987,-1.9345,0.0,United Kingdom,trial,,,,2.985410660720923,1320–1329
1330,Bedfordshire and Hertfordshire,1.0,0.0,51.9386,-0.3242,0.0,United Kingdom,trial,,,,0.5641895835477563,1330–1339
1330,Brandenburg,14.0,14.0,53.0836,12.1381,1.0,Germany,trial,,,,2.111004122822376,1330–1339
1330,Champagne-Ardenne,6.0,0.0,48.7435,4.5387,0.0,France,trial,,,,1.381976597885342,1330–1339
1330,Ile-de-France,1.0,0.0,48.7196,2.5234,0.0,France,trial,,,,0.5641895835477563,1330–1339
1330,Kent,1.0,0.0,51.2181,0.6693,0.0,United Kingdom,trial,,,,0.5641895835477563,1330–1339
1330,Languedoc-Roussillon,4.0,2.0,43.6073,3.25,0.5,France,trial,,,,1.1283791670955126,1330–1339
1330,Midi-Pyrénées,6.0,1.0,43.771,1.4911,0.16666666666666666,France,trial,,,,1.381976597885342,1330–1339
1330,Provence-Alpes-Côte d’Azur,5.0,0.0,43.9629,6.0641,0.0,France,trial,,,,1.2615662610100802,1330–1339
1330,Rhône-Alpes,1.0,0.0,45.442,5.3448,0.0,France,trial,,,,0.5641895835477563,1330–1339
1340,Languedoc-Roussillon,1.0,0.0,43.6073,3.25,0.0,France,trial,,,,0.5641895835477563,1340–1349
1340,Mittelfranken,3.0,0.0,49.3524,10.7811,0.0,Germany,trial,,,,0.9772050238058398,1340–1349
1340,Piemonte,1.0,0.0,45.0634,7.9189,0.0,Italy,trial,,,,0.5641895835477563,1340–1349
1340,Salzburg,1.0,0.0,47.2823,13.0002,0.0,Austria,trial,,,,0.5641895835477563,1340–1349
1340,Schwaben,1.0,0.0,48.168,10.5277,0.0,Germany,trial,,,,0.5641895835477563,1340–1349
1350,Alsace,3.0,0.0,48.3183,7.4515,0.0,France,trial,,,,0.9772050238058398,1350–1359
1350,Freiburg,10.0,0.0,46.6994,7.0955,0.0,Switzerland,trial,,,,1.7841241161527712,1350–1359
1350,Jihomoravský kraj,2.0,0.0,49.0775,16.6376,0.0,Czech Republic,trial,,,,0.7978845608028654,1350–1359
1360,Freiburg,10.0,0.0,46.6994,7.0955,0.0,Switzerland,trial,,,,1.7841241161527712,1360–1369
1360,Lombardia,1.0,0.0,45.6127,9.773,0.0,Italy,trial,,,,0.5641895835477563,1360–1369
1370,Freiburg,10.0,0.0,46.6994,7.0955,0.0,Switzerland,trial,,,,1.7841241161527712,1370–1379
1370,Lorraine,6.0,4.0,48.755,6.1359,0.6666666666666666,France,trial,,,,1.381976597885342,1370–1379
1370,Mittelfranken,2.0,0.0,49.3524,10.7811,0.0,Germany,trial,,,,0.7978845608028654,1370–1379
1370,Noord-Brabant,2.0,0.0,51.5461,5.4595,0.0,Netherlands,trial,,,,0.7978845608028654,1370–1379
1370,Nord-Pas de Calais,1.0,0.0,50.4789,2.7098,0.0,France,trial,,,,0.5641895835477563,1370–1379
1370,Provincia Autonoma di Trento,2.0,1.0,46.1313,10.859,0.5,Italy,trial,,,,0.7978845608028654,1370–1379
1370,Schwaben,1.0,0.0,48.168,10.5277,0.0,Germany,trial,,,,0.5641895835477563,1370–1379
1370,Toscana,1.0,0.0,43.4794,11.1306,0.0,Italy,trial,,,,0.5641895835477563,1370–1379
1370,Utrecht,1.0,0.0,52.0749,5.2003,0.0,Netherlands,trial,,,,0.5641895835477563,1370–1379
1380,Brandenburg,5.0,0.0,53.0836,12.1381,0.0,Germany,trial,,,,1.2615662610100802,1380–1389
