place,lat,lon,min_decade,max_decade,tried,executed,mortality,country,event,decade,battle,size
Aachen,50.7753455,6.0838868,,,,,,Germany,battle,1580.0,"Aachen, 1581 | Eighty Years' War<br>Aachen, 1614 | Eighty Years' War",
Aachen,50.7753455,6.0838868,,,,,,Germany,battle,1610.0,"Aachen, 1581 | Eighty Years' War<br>Aachen, 1614 | Eighty Years' War",
Aalst,50.9378101,4.0409517,,,,,,Belgium,battle,1570.0,"Aalst, 1576 | Eighty Years' War",
Aargau,47.4112,8.1543,1470.0,1680.0,144.0,107.0,0.7430555555555556,Switzerland,trial,,,6.770275002573076
Aberdeen,57.149717,-2.094278,,,,,,United Kingdom,battle,1640.0,"Dee, 1639 | British Wars of Religion<br>Aberdeen, 1644 | British Wars of Religion",
Aberdeen,57.149717,-2.094278,,,,,,United Kingdom,battle,1630.0,"Dee, 1639 | British Wars of Religion<br>Aberdeen, 1644 | British Wars of Religion",
Adwalton,53.7513517,-1.6545698,,,,,,United Kingdom,battle,1640.0,"Adwalton Moor, 1643 | British Wars of Religion",
Aldbourne,51.479233,-1.62053,,,,,,United Kingdom,battle,1640.0,"Aldbourne Chase, 1643 | British Wars of Religion",
Alford,53.263271,0.183359,,,,,,United Kingdom,battle,1640.0,"Alford, 1645 | British Wars of Religion",
Alkmaar,52.6323813,4.7533754,,,,,,Netherlands,battle,1570.0,"Alkmaar, 1573 | Eighty Years' War",
Alsace,48.3183,7.4515,1350.0,1690.0,106.0,75.0,0.7075471698113207,France,trial,,,5.808687281605183
Alte Veste,49.454322,10.972363,,,,,,Germany,battle,1630.0,"Alte Veste, 1632 | Thirty Years' War",
Alton,51.150719,-0.973177,,,,,,United Kingdom,battle,1640.0,"Alton, 1643 | British Wars of Religion",
Alyth,56.62578,-3.226867,,,,,,United Kingdom,battle,1650.0,"Alyth, 1651 | British Wars of Religion",
Amiens,49.894067,2.295753,,,,,,France,battle,1590.0,"Amiens, 1597 | French Wars of Religion",
Angus,56.7969965,-2.9206818,,,,,,United Kingdom,battle,1640.0,"Careston, 1645 | British Wars of Religion",
Annan,54.990246,-3.259773,,,,,,United Kingdom,battle,1640.0,"Annan Moor, 1645 | British Wars of Religion",
Antwerp,51.2194475,4.4024643,,,,,,Belgium,battle,1570.0,"Oosterweel, 1567 | Eighty Years' War<br>Antwerp, 1576 | Eighty Years' War<br>Antwerp, 1584 | Eighty Years' War<br>Kallo, 1638 | Thirty Years' War",
Antwerp,51.2194475,4.4024643,,,,,,Belgium,battle,1560.0,"Oosterweel, 1567 | Eighty Years' War<br>Antwerp, 1576 | Eighty Years' War<br>Antwerp, 1584 | Eighty Years' War<br>Kallo, 1638 | Thirty Years' War",
Antwerp,51.2194475,4.4024643,,,,,,Belgium,battle,1630.0,"Oosterweel, 1567 | Eighty Years' War<br>Antwerp, 1576 | Eighty Years' War<br>Antwerp, 1584 | Eighty Years' War<br>Kallo, 1638 | Thirty Years' War",
Antwerp,51.2194475,4.4024643,,,,,,Belgium,battle,1580.0,"Oosterweel, 1567 | Eighty Years' War<br>Antwerp, 1576 | Eighty Years' War<br>Antwerp, 1584 | Eighty Years' War<br>Kallo, 1638 | Thirty Years' War",
Appenzell Ausserrhoden,47.3855,9.4368,1550.0,1690.0,30.0,30.0,1.0,Switzerland,trial,,,3.0901936161855166
Appenzell Innerrhoden,47.3177,9.401,1590.0,1690.0,61.0,35.0,0.5737704918032787,Switzerland,trial,,,4.406461512053774
Aquitaine,44.3694,-0.2186,1320.0,1710.0,34.0,14.0,0.4117647058823529,France,trial,,,3.2897623212397704
Armagh,54.3502798,-6.652792,,,,,,United Kingdom,battle,1650.0,"Charlemont, 1650 | British Wars of Religion",
Arnay-le-Duc,47.130623,4.485898,,,,,,France,battle,1570.0,"Arnay-le-Duc, 1570 | French Wars of Religion",
Arnhem,51.174422,4.8279351,,,,,,Belgium,battle,1580.0,"Arnhem, 1585 | Eighty Years' War",
Arnsberg,51.3119,7.9928,1460.0,1730.0,1109.0,881.0,0.7944093778178539,Germany,trial,,,18.78844495368959
Arques-la-Bataille,49.880241,1.125068,,,,,,France,battle,1580.0,"Arques, 1589 | French Wars of Religion",
