,decade,country,tried,executed,min_decade,max_tried,battle,decade_t,mortality,size_1,size_2,text_country,text_decade,decade_hov,decade_name_hov,country_hov,tried_hov,executed_hov,mortal_hov
1068,1900,line_5,0.0,,2000.0,0.0,,,,0.0,0.0,,,,,,,,
1069,1900,line_6,0.0,,2000.0,0.0,,,,0.0,0.0,,,,,,,,
1182,1900,Czechia,2.0,0.0,2000.0,,9.0,,0.0,0.7978845608028654,1.5,2 ,,1900.0,Europe,Czechia,2.0,0.0,0.0
1183,1900,Poland,12.0,3.0,2000.0,,3.0,,0.25,1.9544100476116797,1.5,12 ,,1900.0,Europe,Poland,12.0,3.0,0.25
1184,1900,Ireland,52.0,1.0,2000.0,,22.0,,0.019230769230769232,4.068428945128219,1.5,52 ,,1900.0,Europe,Ireland,52.0,1.0,0.019230769230769232
1185,1900,Denmark,57.0,0.0,2000.0,,2.0,,0.0,4.259537945889915,1.5,57 ,,1900.0,Europe,Denmark,57.0,0.0,0.0
1186,1900,Austria,83.0,13.0,2000.0,,5.0,,0.1566265060240964,5.140011726956917,1.5,83 ,,1900.0,Europe,Austria,83.0,13.0,0.1566265060240964
1187,1900,Estonia,205.0,65.0,2000.0,,,,0.3170731707317073,8.07796550300118,1.5,205 ,,1900.0,Europe,Estonia,205.0,65.0,0.3170731707317073
1188,1900,Luxembourg,219.0,99.0,2000.0,,,,0.4520547945205479,8.349243383340204,1.5,219 ,,1900.0,Europe,Luxembourg,219.0,99.0,0.4520547945205479
1189,1900,Sweden,276.0,0.0,2000.0,,,,0.0,9.373021315815206,1.5,276 ,,1900.0,Europe,Sweden,276.0,0.0,0.0
1190,1900,Netherlands,358.0,45.0,2000.0,,54.0,,0.12569832402234637,10.674967880691588,1.5,358 ,,1900.0,Europe,Netherlands,358.0,45.0,0.12569832402234637
1191,1900,Italy,601.0,59.0,2000.0,,15.0,,0.09816971713810316,13.831277655967225,1.5,601 ,,1900.0,Europe,Italy,601.0,59.0,0.09816971713810316
1192,1900,Belgium,702.0,272.0,2000.0,,25.0,,0.38746438746438744,14.948362455500638,1.5,702 ,,1900.0,Europe,Belgium,702.0,272.0,0.38746438746438744
1193,1900,Finland,710.0,115.0,2000.0,,,,0.1619718309859155,15.033297016639143,1.5,710 ,,1900.0,Europe,Finland,710.0,115.0,0.1619718309859155
1194,1900,Norway,863.0,280.0,2000.0,,,,0.32444959443800697,16.574119336381386,1.5,863 ,,1900.0,Europe,Norway,863.0,280.0,0.32444959443800697
1195,1900,Hungary,1644.0,474.0,2000.0,,,,0.28832116788321166,22.875783109789968,1.5,"1,644 ",,1900.0,Europe,Hungary,1644.0,474.0,0.28832116788321166
1196,1900,UK,1904.0,361.0,2000.0,,107.0,,0.18960084033613445,24.61832697999475,1.5,"1,904 ",,1900.0,Europe,UK,1904.0,361.0,0.18960084033613445
1197,1900,Spain,1949.0,1.0,2000.0,,9.0,,0.000513083632632119,24.907548417542184,1.5,"1,949 ",,1900.0,Europe,Spain,1949.0,1.0,0.000513083632632119
1198,1900,France,4016.0,1579.0,2000.0,,64.0,,0.39317729083665337,35.75377606511099,1.5,"4,016 ",,1900.0,Europe,France,4016.0,1579.0,0.39317729083665337
1199,1900,Switzerland,9392.0,5656.0,2000.0,,4.0,,0.6022146507666098,54.67692795904102,1.5,"9,392 ",,1900.0,Europe,Switzerland,9392.0,5656.0,0.6022146507666098
1200,1900,Germany,16007.0,6851.0,2000.0,,104.0,,0.4280002498906728,71.38057402503806,1.5,"16,007 ",,1900.0,Europe,Germany,16007.0,6851.0,0.4280002498906728
0,1300,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
1,1310,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
2,1320,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
3,1330,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
4,1340,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
5,1350,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
6,1360,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
7,1370,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
8,1380,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
9,1390,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
10,1400,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
11,1410,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
12,1420,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
13,1430,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
14,1440,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
15,1450,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
16,1460,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
17,1470,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
18,1480,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
19,1490,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
20,1500,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
21,1510,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
22,1520,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
23,1530,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
24,1540,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
25,1550,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
26,1560,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
27,1570,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
28,1580,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
29,1590,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
30,1600,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
31,1610,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
32,1620,Sweden,0.0,0.0,1630.0,276.0,0.0,,,0.0,0.0,,,,,,,,
33,1630,Sweden,6.0,0.0,1630.0,276.0,0.0,,0.0,1.381976597885342,1.5,,,1630.0,1630–1639,Sweden,6.0,0.0,0.0
34,1640,Sweden,12.0,0.0,1630.0,276.0,0.0,,0.0,1.9544100476116797,1.5,,,1640.0,1640–1649,Sweden,12.0,0.0,0.0
35,1650,Sweden,8.0,0.0,1630.0,276.0,0.0,,0.0,1.5957691216057308,1.5,,,1650.0,1650–1659,Sweden,8.0,0.0,0.0
36,1660,Sweden,24.0,0.0,1630.0,276.0,0.0,,0.0,2.763953195770684,1.5,,,1660.0,1660–1669,Sweden,24.0,0.0,0.0
37,1670,Sweden,18.0,0.0,1630.0,276.0,0.0,,0.0,2.393653682408596,1.5,,,1670.0,1670–1679,Sweden,18.0,0.0,0.0
38,1680,Sweden,7.0,0.0,1630.0,276.0,0.0,,0.0,1.4927053303604616,1.5,,,1680.0,1680–1689,Sweden,7.0,0.0,0.0
39,1690,Sweden,26.0,0.0,1630.0,276.0,0.0,,0.0,2.876813695875796,1.5,,,1690.0,1690–1699,Sweden,26.0,0.0,0.0
40,1700,Sweden,17.0,0.0,1630.0,276.0,0.0,,0.0,2.326213245840639,1.5,,,1700.0,1700–1709,Sweden,17.0,0.0,0.0
41,1710,Sweden,20.0,0.0,1630.0,276.0,0.0,,0.0,2.5231325220201604,1.5,,,1710.0,1710–1719,Sweden,20.0,0.0,0.0
42,1720,Sweden,27.0,0.0,1630.0,276.0,0.0,,0.0,2.9316150714175193,1.5,,,1720.0,1720–1729,Sweden,27.0,0.0,0.0
43,1730,Sweden,34.0,0.0,1630.0,276.0,0.0,,0.0,3.2897623212397704,1.5,,,1730.0,1730–1739,Sweden,34.0,0.0,0.0
