,country,region_map,city,tried,executed,mortality,perc_of_total
0,Austria,Niederosterreich,Krems,1.0,0.0,0.0,0.0
1,Austria,Oberosterreich,Braunau am Inn,2.0,1.0,0.5,6.299609424215698e-05
2,Austria,Oberosterreich,Mattighofen,2.0,0.0,0.0,0.0
3,Austria,Oberosterreich,Scharding,1.0,0.0,0.0,0.0
4,Austria,Salzburg,Salzburg,1.0,0.0,0.0,0.0
5,Austria,Tirol,Innsbruck,57.0,0.0,0.0,0.0
6,Austria,Vorarlberg,Fussach,11.0,11.0,1.0,0.0006929570366637269
7,Austria,Wien,Vienna,1.0,1.0,1.0,6.299609424215698e-05
8,Belgium,Antwerpen,Machelen,1.0,1.0,1.0,6.299609424215698e-05
9,Belgium,Brabant Wallon,Nivelles,1.0,0.0,0.0,0.0
10,Belgium,Brabant Wallon,Perwez,1.0,1.0,1.0,6.299609424215698e-05
11,Belgium,Brabant Wallon,Villers-la-Ville,3.0,1.0,0.3333333333333333,6.299609424215698e-05
12,Belgium,Brabant Wallon,Wavre,1.0,0.0,0.0,0.0
13,Belgium,Bruxelles,Brussels,1.0,0.0,0.0,0.0
14,Belgium,Hainaut,Charleroi,11.0,6.0,0.5454545454545454,0.00037797656545294193
15,Belgium,Hainaut,Chatelet,5.0,3.0,0.6,0.00018898828272647097
16,Belgium,Hainaut,Fleurus,12.0,5.0,0.4166666666666667,0.00031498047121078493
17,Belgium,Hainaut,Gerpinnes,1.0,1.0,1.0,6.299609424215698e-05
18,Belgium,Hainaut,Mons,1.0,1.0,1.0,6.299609424215698e-05
19,Belgium,Hainaut,Pont-a-Celles,1.0,1.0,1.0,6.299609424215698e-05
20,Belgium,Hainaut,Tournai,3.0,0.0,0.0,0.0
21,Belgium,Liege,Braives,5.0,1.0,0.2,6.299609424215698e-05
22,Belgium,Liege,Burdinne,2.0,1.0,0.5,6.299609424215698e-05
23,Belgium,Liege,Hannut,4.0,0.0,0.0,0.0
24,Belgium,Liege,Seraing,1.0,1.0,1.0,6.299609424215698e-05
25,Belgium,Liege,Wasseiges,2.0,1.0,0.5,6.299609424215698e-05
26,Belgium,Luxembourg (BE),Arlon,30.0,24.0,0.8,0.0015119062618117677
27,Belgium,Luxembourg (BE),Bastogne,10.0,3.0,0.3,0.00018898828272647097
28,Belgium,Luxembourg (BE),Bouillon,49.0,3.0,0.061224489795918366,0.00018898828272647097
29,Belgium,Luxembourg (BE),Chiny,23.0,9.0,0.391304347826087,0.0005669648481794129
30,Belgium,Luxembourg (BE),Durbuy,38.0,3.0,0.07894736842105263,0.00018898828272647097
31,Belgium,Luxembourg (BE),Marche-en-Famenne,7.0,0.0,0.0,0.0
32,Belgium,Luxembourg (BE),Neufchateau,6.0,0.0,0.0,0.0
33,Belgium,Luxembourg (BE),Saint-Hubert,24.0,0.0,0.0,0.0
34,Belgium,Luxembourg (BE),Virton,22.0,6.0,0.2727272727272727,0.00037797656545294193
35,Belgium,Namur,Andenne,6.0,1.0,0.16666666666666666,6.299609424215698e-05
36,Belgium,Namur,Anhee,2.0,0.0,0.0,0.0
37,Belgium,Namur,Assesse,3.0,0.0,0.0,0.0
38,Belgium,Namur,Bioul,3.0,1.0,0.3333333333333333,6.299609424215698e-05
39,Belgium,Namur,Ciney,4.0,2.0,0.5,0.00012599218848431397
40,Belgium,Namur,Dinant,15.0,4.0,0.26666666666666666,0.00025198437696862794
41,Belgium,Namur,Eghezee,14.0,7.0,0.5,0.00044097265969509893
42,Belgium,Namur,Fernelmont,10.0,3.0,0.3,0.00018898828272647097
43,Belgium,Namur,Floreffe,18.0,9.0,0.5,0.0005669648481794129
44,Belgium,Namur,Florennes,12.0,4.0,0.3333333333333333,0.00025198437696862794
45,Belgium,Namur,Gembloux,7.0,4.0,0.5714285714285714,0.00025198437696862794
46,Belgium,Namur,Gesves,2.0,1.0,0.5,6.299609424215698e-05
47,Belgium,Namur,Hamois,9.0,1.0,0.1111111111111111,6.299609424215698e-05
48,Belgium,Namur,Hastiere,14.0,2.0,0.14285714285714285,0.00012599218848431397
49,Belgium,Namur,Houyet,2.0,1.0,0.5,6.299609424215698e-05
50,Belgium,Namur,Jemeppe-sur-Sambre,10.0,6.0,0.6,0.00037797656545294193
51,Belgium,Namur,La Bruyere,1.0,1.0,1.0,6.299609424215698e-05
52,Belgium,Namur,Mettet,15.0,6.0,0.4,0.00037797656545294193
53,Belgium,Namur,Namur,30.0,13.0,0.43333333333333335,0.0008189492251480409
54,Belgium,Namur,Ohey,4.0,2.0,0.5,0.00012599218848431397
55,Belgium,Namur,Onhaye,9.0,4.0,0.4444444444444444,0.00025198437696862794
56,Belgium,Namur,Philippeville,1.0,0.0,0.0,0.0
